node_id,d,p_min,p_max,c_var,is_generator,energy_type,instance
0,28.1861452555817,0,0,0,False,,0
1,10.9216278032996,0,0,0,False,,0
2,22.8847948603564,0,0,0,False,,0
3,21.9616824159121,0,0,0,False,,0
4,0,0,0,0,False,,0
5,28.9909231413775,0,0,0,False,,0
6,10.6300015224478,0,0,0,False,,0
7,15.5018268317153,0,0,0,False,,0
8,0,0,0,0,False,,0
9,0,0,400,0,True,hydro,0
10,38.4178063940954,0,0,0,False,,0
11,0,0,200,0,True,hydro,0
12,19.0682954308311,0,0,0,False,,0
13,7.69149354142636,0,0,0,False,,0
14,48.7338569241691,0,0,0,False,,0
15,13.3378322067795,0,0,0,False,,0
16,6.28820864594427,0,0,0,False,,0
17,32.8563130868669,0,0,0,False,,0
18,25.2771253973223,0,0,0,False,,0
19,10.3045325444287,0,0,0,False,,0
20,7.45548454868895,0,0,0,False,,0
21,5.54265651901165,0,0,0,False,,0
22,3.96733128170798,0,0,0,False,,0
23,6.91681488272564,0,0,0,False,,0
24,0,0,397.8,28.948321,True,coal,0
25,0,0,873,22.22098,True,coal,0
26,43.2785721993909,0,0,0,False,,0
27,10.1510635349235,0,0,0,False,,0
28,13.5734160968269,0,0,0,False,,0
29,0,0,0,0,False,,0
30,0,0,612,25.993982,True,coal,0
31,32.7957155414593,0,0,0,False,,0
32,12.561773088455,0,0,0,False,,0
33,31.0705079251995,0,0,0,False,,0
34,19.5859321757186,0,0,0,False,,0
35,17.1886094787316,0,0,0,False,,0
36,0,0,0,0,False,,0
37,0,0,0,0,False,,0
38,15.5804835271582,0,0,0,False,,0
39,35.9712637367137,0,0,0,False,,0
40,19.7768755891731,0,0,0,False,,0
41,54.2169130127828,0,0,0,False,,0
42,9.1990568734579,0,0,0,False,,0
43,9.21401812820751,0,0,0,False,,0
44,32.8159850084435,0,0,0,False,,0
45,0,0,720,24.202306,True,coal,0
46,19.277377637321,0,0,0,False,,0
47,11.6397897346347,0,0,0,False,,0
48,0,0,0,0,True,solar,0
49,9.99531981820637,0,0,0,False,,0
50,9.51644190097969,0,0,0,False,,0
51,9.48803875325671,0,0,0,False,,0
52,12.9732367438988,0,0,0,False,,0
53,0,0,0,0,True,solar,0
54,36.6954672036992,0,0,0,False,,0
55,45.7090068133226,0,0,0,False,,0
56,7.07150370563764,0,0,0,False,,0
57,7.04075452665347,0,0,0,False,,0
58,0,0,0,0,True,solar,0
59,43.7071672153409,0,0,0,False,,0
60,0,0,0,0,True,solar,0
61,42.849663222246,0,0,0,False,,0
62,0,0,0,0,False,,0
63,0,0,0,0,False,,0
64,0,38.4848610882545,38.4848610882545,0,True,wind,0
65,0,180.602933295149,180.602933295149,0,True,wind,0
66,16.4559438670343,0,0,0,False,,0
67,0,0,0,0,False,,0
68,0,0,0,0,False,,0
69,41.9439801689994,0,0,0,False,,0
